name,address,type,lat,lng
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),starbucks,37.501087,127.043069
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),starbucks,37.510178,127.022223
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),starbucks,37.5139309,127.0206057
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),starbucks,37.499517,127.031495
대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동),starbucks,37.494668,127.062583
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),starbucks,37.515000,127.063196
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),starbucks,37.5227934,127.0286009
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),starbucks,37.510150,127.060275
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),starbucks,37.507750,127.060651
압구정R,서울특별시 강남구 언주로 861 (신사동),starbucks,37.5273669,127.033061
수서역R,서울특별시 강남구 광평로 281 (수서동),starbucks,37.488008,127.102650
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),starbucks,37.485192,127.036685
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),starbucks,37.505321,127.050409
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),starbucks,37.511293,127.048409
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),starbucks,37.502117,127.026672
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,starbucks,37.50999,127.061455
강남구청정문,서울특별시 강남구 학동로 419 (청담동),starbucks,37.518181,127.045995
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),starbucks,37.492805,127.041309
강남R,서울특별시 강남구 강남대로 390 (역삼동),starbucks,37.497711,127.028439
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),starbucks,37.498973,127.060172
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),starbucks,37.522156,127.056449
압구정,서울특별시 강남구 압구정로30길 17 (신사동),starbucks,37.526283,127.02956
신사가로수,서울특별시 강남구 가로수길 59,starbucks,37.521933,127.022521
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),starbucks,37.525216,127.041827
강남우성,서울특별시 강남구 강남대로 328 (역삼동),starbucks,37.492396,127.03091
학동사거리,서울특별시 강남구 도산대로 328 (논현동),starbucks,37.52236449999999,127.03795430000002
대치사거리,서울특별시 강남구 삼성로 402 (대치동),starbucks,37.503331,127.058817
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,starbucks,37.5075307,127.05742710000004
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",starbucks,37.5191632,127.0286446
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,starbucks,37.5162021,127.0207428
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),starbucks,37.492167,127.057398
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,starbucks,37.514887,127.035653
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,starbucks,37.5236351,127.04686509999999
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",starbucks,37.496801,127.055055
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),starbucks,37.4941059,127.03299730000003
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호,starbucks,37.513715,127.059245
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",starbucks,37.5231593,127.02162499999997
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",starbucks,37.501623,127.039375
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",starbucks,37.499721,127.033582
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",starbucks,37.50314,127.025546
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",starbucks,37.5243631,127.05155990000003
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),starbucks,37.5097863,127.05791339999996
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",starbucks,37.507794,127.06517
학동역,서울특별시 강남구 논현로 704 (논현동),starbucks,37.51464884,127.0307302
대치,서울특별시 강남구 도곡로 511 (대치동),starbucks,37.49966175,127.0622171
신세계푸드마켓도곡,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",starbucks,37.490298,127.054895
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",starbucks,37.50703529,127.0555503
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,starbucks,37.50377562,127.051196
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",starbucks,37.52674095,127.0281105
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),starbucks,37.52680046,127.0347174
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),starbucks,37.49592355,127.0388645
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",starbucks,37.50236693,127.0407
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",starbucks,37.5165849,127.04124330000002
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,starbucks,37.493554,127.061874
포이,서울특별시 강남구 논현로 88 (개포동),starbucks,37.47781106,127.0451411
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),starbucks,37.49971982,127.0349084
학여울역,서울특별시 강남구 영동대로 215 (대치동),starbucks,37.49803646,127.0684943
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,starbucks,37.51075489999999,127.04455970000003
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),starbucks,37.51354184,127.0527183
GS타워,서울특별시 강남구 논현로 508 (역삼동),starbucks,37.5018592,127.03727759999992
압구정미소,서울특별시 강남구 논현로 841 (신사동),starbucks,37.52405601,127.027915
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",starbucks,37.50393894,127.0485135
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),starbucks,37.515351,127.060109
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),starbucks,37.492209,127.039389
신압구정,서울특별시 강남구 언주로174길 29 (신사동),starbucks,37.528115,127.036441
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",starbucks,37.50898041,127.0403869
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",starbucks,37.4964557,127.02968850000002
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",starbucks,37.526549,127.040437
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),starbucks,37.502721,127.044308
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",starbucks,37.50576,127.057966
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",starbucks,37.505053,127.046577
논현힐탑,서울특별시 강남구 논현로 648 (논현동),starbucks,37.5115577,127.03226199999994
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",starbucks,37.51736229999999,127.02329570000006
대치한티,서울특별시 강남구 선릉로 324 (대치동),starbucks,37.4984818,127.052066
개포동,서울특별시 강남구 선릉로 34 (개포동),starbucks,37.4828551359882,127.0607152444621
수서역사거리,서울특별시 강남구 광평로 280 (수서동),starbucks,37.4873267937748,127.103140081887
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),starbucks,37.513019,127.059838
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),starbucks,37.50369465391196,127.04172081609172
도산사거리,서울특별시 강남구 언주로 727 (논현동),starbucks,37.51966,127.0341
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),starbucks,37.467274319644,127.099929726
대치삼성,서울특별시 강남구 영동대로 237 (대치동),starbucks,37.500313,127.066961
언주역,서울특별시 강남구 봉은사로 222 (역삼동),starbucks,37.507775,127.036472
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),starbucks,37.4970572543978,127.028180714381
삼성역,서울특별시 강남구 테헤란로 620 (대치동),starbucks,37.509206962541256,127.06560851480327
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),starbucks,37.50383,127.04487
강남논현,서울특별시 강남구 강남대로 512 (논현동),starbucks,37.5078978596254,127.023338614644
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),starbucks,37.510843366121534,127.06363342044263
청담역,서울특별시 강남구 삼성로 709 (청담동),starbucks,37.5194407323478,127.049552661542
압구정현대아파트 ,서울특별시 강남구 논현로175길 38 (신사동),starbucks,37.52521971236768,127.0256601858147
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),starbucks,37.499367,127.048425
강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동),starbucks,37.466993809277,127.118330806807
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),starbucks,37.618319,127.021072
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),starbucks,37.6400354,127.0273766
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),starbucks,37.611809,127.0306971
수유역,서울특별시 강북구 도봉로 342 (번동),starbucks,37.6380167,127.02613500000007
미아역,서울특별시 강북구 도봉로 196 (미아동),starbucks,37.626148,127.026578
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,starbucks,37.664380074618,127.008566467101
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),starbucks,37.558509,126.835096
마곡역,서울특별시 강서구 공항대로 168 (마곡동),starbucks,37.559611,126.826298
우장산역,서울특별시 강서구 강서로 267 (내발산동),starbucks,37.549501,126.835984
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),starbucks,37.5605261,126.833887
방화DT,서울특별시 강서구 방화대로 375 (방화동),starbucks,37.574339,126.816415
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),starbucks,37.56813,126.82614
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",starbucks,37.560487,126.829667
가양역,서울특별시 강서구 양천로 476 (등촌동),starbucks,37.561640,126.853327
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),starbucks,37.535149,126.863232
양천향교역,서울특별시 강서구 강서로 463 (마곡동),starbucks,37.566964,126.840731
화곡동,서울특별시 강서구 화곡로 142(화곡동),starbucks,37.5405115,126.8372413
등촌,서울특별시 강서구 공항대로 329 (등촌동),starbucks,37.5582043,126.84433919999992
염창역,서울특별시 강서구 공항대로 627 (염창동),starbucks,37.547359,126.874436
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,starbucks,37.56033,126.839279
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),starbucks,37.532303,126.846077
발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부",starbucks,37.5579224739977,126.84054030692
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",starbucks,37.542514,126.839062
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",starbucks,37.546305,126.835923
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",starbucks,37.55101,126.86638
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",starbucks,37.56007,126.855372
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",starbucks,37.55467,126.83672
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",starbucks,37.56754,126.82553
김포공항DT,서울특별시 강서구 개화동로 517 (방화동),starbucks,37.566396,126.80608
강서NC,서울특별시 강서구 강서로56길 17 (등촌동),starbucks,37.560088,126.840534
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동),starbucks,37.567007,126.822246
송정역,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부",starbucks,37.56097361346,126.811557734972
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동),starbucks,37.5549266,126.8523133
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),starbucks,37.477946,126.961193
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),starbucks,37.479343,126.95278
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),starbucks,37.480935,126.908407
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),starbucks,37.481599,126.9522
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),starbucks,37.476169,126.965005
사당,서울특별시 관악구 남부순환로 2082-25,starbucks,37.47601,126.980997
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,starbucks,37.491449,126.925432
신림,서울특별시 관악구 신림로 355-1 (신림동),starbucks,37.48609493,126.9291602
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층,starbucks,37.48385383,126.9301799
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),starbucks,37.48118,126.951324
서울대입구역8번출구,서울특별시 관악구 남부순환로 1831 (봉천동),starbucks,37.4812061,126.9536942
